Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,127,7,Some Random Commen with Id 0
1,0,7,162,4,Some Random Commen with Id 1
2,0,7,45,1,Some Random Commen with Id 2
3,0,7,176,1,Some Random Commen with Id 3
4,0,7,100,7,Some Random Commen with Id 4
5,0,7,52,6,Some Random Commen with Id 5
6,0,7,139,3,Some Random Commen with Id 6
7,0,7,56,7,Some Random Commen with Id 7
8,1,1,151,9,Some Random Commen with Id 8
9,2,1,105,4,Some Random Commen with Id 9
10,2,1,141,8,Some Random Commen with Id 10
11,4,2,72,2,Some Random Commen with Id 11
12,4,2,110,0,Some Random Commen with Id 12
13,4,2,12,6,Some Random Commen with Id 13
14,4,2,189,3,Some Random Commen with Id 14
15,4,2,149,9,Some Random Commen with Id 15
16,4,2,17,2,Some Random Commen with Id 16
17,4,2,52,3,Some Random Commen with Id 17
18,5,5,70,3,Some Random Commen with Id 18
19,5,5,67,1,Some Random Commen with Id 19
20,5,5,39,9,Some Random Commen with Id 20
21,5,5,83,1,Some Random Commen with Id 21
22,6,6,120,0,Some Random Commen with Id 22
23,6,6,80,5,Some Random Commen with Id 23
24,7,6,78,4,Some Random Commen with Id 24
25,7,6,120,0,Some Random Commen with Id 25
26,7,6,92,0,Some Random Commen with Id 26
27,8,6,87,9,Some Random Commen with Id 27
28,8,6,3,6,Some Random Commen with Id 28
29,8,6,43,4,Some Random Commen with Id 29
30,9,0,195,3,Some Random Commen with Id 30
31,9,0,69,9,Some Random Commen with Id 31
32,9,0,79,1,Some Random Commen with Id 32
33,9,0,62,0,Some Random Commen with Id 33
34,9,0,102,0,Some Random Commen with Id 34
35,9,0,162,0,Some Random Commen with Id 35
36,9,0,123,4,Some Random Commen with Id 36
37,9,0,188,0,Some Random Commen with Id 37
38,10,8,178,9,Some Random Commen with Id 38
39,10,8,20,5,Some Random Commen with Id 39
40,10,8,171,4,Some Random Commen with Id 40
41,10,8,179,6,Some Random Commen with Id 41
42,11,0,27,4,Some Random Commen with Id 42
43,11,0,109,9,Some Random Commen with Id 43
44,11,0,91,3,Some Random Commen with Id 44
45,11,0,192,2,Some Random Commen with Id 45
46,12,1,46,8,Some Random Commen with Id 46
47,12,1,176,8,Some Random Commen with Id 47
48,13,3,1,8,Some Random Commen with Id 48
49,13,3,164,1,Some Random Commen with Id 49
50,13,3,126,5,Some Random Commen with Id 50
51,13,3,160,0,Some Random Commen with Id 51
52,13,3,114,8,Some Random Commen with Id 52
53,13,3,104,5,Some Random Commen with Id 53
54,13,3,124,7,Some Random Commen with Id 54
55,14,9,42,3,Some Random Commen with Id 55
56,14,9,3,7,Some Random Commen with Id 56
57,14,9,161,7,Some Random Commen with Id 57
58,14,9,106,8,Some Random Commen with Id 58
59,14,9,171,2,Some Random Commen with Id 59
60,14,9,153,2,Some Random Commen with Id 60
61,15,6,58,5,Some Random Commen with Id 61
62,15,6,56,6,Some Random Commen with Id 62
63,15,6,192,4,Some Random Commen with Id 63
64,16,9,110,9,Some Random Commen with Id 64
65,16,9,24,8,Some Random Commen with Id 65
66,16,9,89,8,Some Random Commen with Id 66
67,16,9,159,2,Some Random Commen with Id 67
68,16,9,181,0,Some Random Commen with Id 68
69,16,9,162,2,Some Random Commen with Id 69
70,16,9,134,8,Some Random Commen with Id 70
71,17,0,101,7,Some Random Commen with Id 71
72,17,0,143,6,Some Random Commen with Id 72
73,17,0,98,7,Some Random Commen with Id 73
74,18,3,0,3,Some Random Commen with Id 74
